,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
159,EVE WINTER,15.0,7.7,11.41,0.8632,18.3443,-132.258,-852.258,2.6,0.282
160,EVE WINTER,16.0,7.7,11.41,0.8632,19.7433,177.41,-902.59,2.586,0.284
161,EVE WINTER,17.0,7.7,11.41,0.8632,20.2646,124.856,-955.145,2.579,0.274
162,EVE WINTER,18.0,7.7,11.41,0.8632,20.9151,60.373,-1019.627,2.595,0.267
163,EVE WINTER,7.0,7.7,11.41,0.8888,8.5658,-68.497,-428.497,2.756,0.29
164,EVE WINTER,8.0,7.7,11.41,0.8888,10.0891,-130.259,-490.259,2.758,0.3
165,EVE WINTER,9.0,7.7,11.41,0.8888,11.5679,173.941,-546.059,2.736,0.304
166,EVE WINTER,10.0,7.7,11.41,0.8888,12.9178,116.332,-603.669,2.725,0.305
167,EVE WINTER,11.0,7.7,11.41,0.8888,13.7227,64.808,-655.192,2.697,0.293
168,EVE WINTER,12.0,7.7,11.41,0.8888,14.244,7.285,-712.715,2.692,0.279
169,EVE WINTER,13.0,7.7,11.41,0.8888,15.1392,-48.196,-768.196,2.681,0.272
170,EVE WINTER,14.0,7.7,11.41,0.8888,16.8933,-107.483,-827.483,2.681,0.283
171,EVE WINTER,15.0,7.7,11.41,0.8888,18.9384,-157.518,-877.518,2.659,0.294
172,EVE WINTER,16.0,7.7,11.41,0.8888,20.2646,150.524,-929.476,2.644,0.295
173,EVE WINTER,17.0,7.7,11.41,0.8888,20.8192,96.523,-983.477,2.637,0.284
174,EVE WINTER,18.0,7.7,11.41,0.8888,21.31,30.516,-1049.484,2.653,0.276
175,EVE WINTER,5.0,7.7,16.35,0.7512,8.1565,39.533,-320.467,2.855,0.395
176,EVE WINTER,6.0,7.7,16.35,0.7512,10.314,-22.742,-382.742,2.842,0.415
177,EVE WINTER,7.0,7.7,16.35,0.7512,12.3237,-80.638,-440.638,2.811,0.423
178,EVE WINTER,8.0,7.7,16.35,0.7512,14.3793,-142.813,-502.813,2.807,0.431
179,EVE WINTER,9.0,7.7,16.35,0.7512,16.0269,161.478,-558.522,2.778,0.425
180,EVE WINTER,10.0,7.7,16.35,0.7512,17.5885,104.203,-615.797,2.761,0.418
181,EVE WINTER,11.0,7.7,16.35,0.7512,18.8619,54.197,-665.803,2.724,0.406
182,EVE WINTER,12.0,7.7,16.35,0.7512,20.3546,1.28,-718.72,2.702,0.399
183,EVE WINTER,13.0,7.7,16.35,0.7512,22.0475,-48.484,-768.484,2.674,0.396
184,EVE WINTER,14.0,7.7,16.35,0.7512,24.2934,-104.996,-824.996,2.667,0.407
185,EVE WINTER,15.0,7.7,16.35,0.7512,26.9357,-159.82,-879.82,2.656,0.42
186,EVE WINTER,16.0,7.7,16.35,0.7512,29.897,139.723,-940.277,2.659,0.436
187,EVE WINTER,5.0,7.7,16.35,0.8121,9.0691,16.883,-343.117,3.02,0.451
188,EVE WINTER,6.0,7.7,16.35,0.8121,11.3086,-50.0,-410.0,3.008,0.468
189,EVE WINTER,7.0,7.7,16.35,0.8121,13.2708,-112.208,-472.208,2.975,0.469
190,EVE WINTER,8.0,7.7,16.35,0.8121,15.189,-178.371,-538.371,2.969,0.468
191,EVE WINTER,9.0,7.7,16.35,0.8121,16.6537,123.099,-596.901,2.933,0.454
192,EVE WINTER,10.0,7.7,16.35,0.8121,18.1316,63.177,-656.823,2.91,0.442
193,EVE WINTER,11.0,7.7,16.35,0.8121,19.5762,10.361,-709.639,2.868,0.431
194,EVE WINTER,12.0,7.7,16.35,0.8121,21.4116,-46.09,-766.09,2.843,0.431
195,EVE WINTER,13.0,7.7,16.35,0.8121,23.6091,-99.301,-819.301,2.813,0.436
196,EVE WINTER,14.0,7.7,16.35,0.8121,26.3752,-159.795,-879.795,2.805,0.453
197,EVE WINTER,15.0,7.7,16.35,0.8121,29.3704,141.639,-938.362,2.793,0.468
198,EVE WINTER,5.0,7.7,16.35,0.8448,9.897,2.41,-357.59,3.127,0.502
199,EVE WINTER,6.0,7.7,16.35,0.8448,12.2167,-66.882,-426.882,3.112,0.515
200,EVE WINTER,7.0,7.7,16.35,0.8448,14.1993,-131.277,-491.277,3.075,0.51
201,EVE WINTER,8.0,7.7,16.35,0.8448,16.0269,160.649,-559.351,3.066,0.502
202,EVE WINTER,9.0,7.7,16.35,0.8448,17.4579,100.855,-619.146,3.024,0.482
203,EVE WINTER,10.0,7.7,16.35,0.8448,18.8619,39.643,-680.357,2.997,0.468
204,EVE WINTER,11.0,7.7,16.35,0.8448,20.4455,-14.748,-734.748,2.951,0.457
205,EVE WINTER,12.0,7.7,16.35,0.8448,22.4988,-73.531,-793.531,2.926,0.46
