Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Phase/Attn
0,KANSAS,7.0,8.9,11.3,0.7356,8.8258,-55.973,-415.973,2.416,0.243,-6.341974665186159
1,KANSAS,8.0,8.9,11.3,0.7356,10.2572,-114.289,-474.289,2.412,0.246,-11.142319541395313
2,KANSAS,9.0,8.9,11.3,0.7356,11.5679,-168.171,-528.171,2.395,0.246,-14.537729406374536
3,KANSAS,10.0,8.9,11.3,0.7356,12.8795,134.849,-585.151,2.39,0.246,10.470049303156177
4,KANSAS,11.0,8.9,11.3,0.7356,13.7649,83.502,-636.498,2.371,0.238,6.066299065013185
5,KANSAS,12.0,8.9,11.3,0.7356,14.4249,27.323,-692.677,2.368,0.229,1.8941552454436428
6,KANSAS,13.0,8.9,11.3,0.7356,15.0405,-26.224,-746.224,2.359,0.22,-1.7435590572121937
7,KANSAS,14.0,8.9,11.3,0.7356,16.1934,-85.408,-805.408,2.362,0.22,-5.2742475329455205
8,KANSAS,15.0,8.9,11.3,0.7356,17.7211,-139.456,-859.456,2.355,0.225,-7.8694889143450455
9,KANSAS,16.0,8.9,11.3,0.7356,19.5762,164.202,-915.798,2.353,0.232,8.38783829343795
10,KANSAS,17.0,8.9,11.3,0.7356,20.9151,113.905,-966.095,2.342,0.232,5.44606528297737
11,KANSAS,18.0,8.9,11.3,0.7356,21.31,58.282,-1021.718,2.34,0.224,2.7349601126231815
12,KANSAS,6.0,8.9,11.3,0.7859,8.0242,-26.205,-386.205,2.562,0.265,-3.2657461179930705
13,KANSAS,7.0,8.9,11.3,0.7859,9.396,-82.811,-442.811,2.529,0.264,-8.813431247339294
14,KANSAS,8.0,8.9,11.3,0.7859,10.752,-144.973,-504.973,2.524,0.264,-13.48335193452381
15,KANSAS,9.0,8.9,11.3,0.7859,12.0065,157.545,-562.455,2.506,0.261,13.12164244367634
16,KANSAS,10.0,8.9,11.3,0.7859,13.2309,96.589,-623.411,2.501,0.259,7.300259241623775
17,KANSAS,11.0,8.9,11.3,0.7859,14.1993,41.997,-678.003,2.481,0.251,2.9576810124442754
18,KANSAS,12.0,8.9,11.3,0.7859,14.9916,-16.716,-736.716,2.474,0.243,-1.1150244136716563
19,KANSAS,13.0,8.9,11.3,0.7859,15.7562,-72.081,-792.081,2.461,0.235,-4.574770566507153
20,KANSAS,14.0,8.9,11.3,0.7859,17.0156,-133.469,-853.469,2.462,0.236,-7.843919697219023
21,KANSAS,15.0,8.9,11.3,0.7859,18.5624,169.887,-910.113,2.453,0.24,9.152210921001595
22,KANSAS,16.0,8.9,11.3,0.7859,20.4455,110.639,-969.361,2.45,0.248,5.411410823897679
23,KANSAS,17.0,8.9,11.3,0.7859,21.8303,58.593,-1021.407,2.435,0.248,2.684021749586584
24,KANSAS,18.0,8.9,11.3,0.7859,22.2702,2.641,-1077.359,2.429,0.239,0.118588966421496
25,KANSAS,6.0,8.9,11.3,0.8088,8.2908,-37.172,-397.172,2.616,0.277,-4.483523906016306
26,KANSAS,7.0,8.9,11.3,0.8088,9.6825,-94.996,-454.996,2.58,0.275,-9.81110250451846
27,KANSAS,8.0,8.9,11.3,0.8088,11.0879,-158.485,-518.485,2.575,0.275,-14.293509140594704
28,KANSAS,9.0,8.9,11.3,0.8088,12.3237,142.652,-577.348,2.555,0.27,11.575419719727028
29,KANSAS,10.0,8.9,11.3,0.8088,13.5556,79.971,-640.029,2.551,0.268,5.899480657440468
30,KANSAS,11.0,8.9,11.3,0.8088,14.5168,23.676,-696.324,2.53,0.26,1.6309379477570813
31,KANSAS,12.0,8.9,11.3,0.8088,15.3401,-36.768,-756.768,2.523,0.251,-2.396855300812902
