Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
138,KANSAS,11.0,6.5,18.13,0.842,25.3521,46.29,-673.71,3.149,0.696,15.855505617977526,1.8258842462754565,71.5,278.8731
139,KANSAS,12.0,6.5,18.13,0.842,27.1309,-10.264,-730.264,3.133,0.68,15.855505617977526,-0.37831402570500794,78.0,325.5708
140,KANSAS,13.0,6.5,18.13,0.842,28.4043,-62.584,-782.584,3.105,0.653,15.855505617977526,-2.2033283692961985,84.5,369.2559
141,KANSAS,14.0,6.5,18.13,0.842,29.897,-120.09,-840.09,3.098,0.639,15.855505617977526,-4.016790982372814,91.0,418.558
142,KANSAS,7.0,4.4,20.43,0.6692,9.2185,92.248,-267.752,2.947,0.567,15.855505617977526,10.006834083636166,30.800000000000004,64.5295
143,KANSAS,8.0,4.4,20.43,0.6692,10.6036,59.201,-300.799,2.904,0.566,15.855505617977526,5.583103851522124,35.2,84.8288
144,KANSAS,9.0,4.4,20.43,0.6692,11.9033,29.09,-330.91,2.85,0.561,15.855505617977526,2.4438601060210194,39.6,107.1297
145,KANSAS,10.0,4.4,20.43,0.6692,13.4324,-2.574,-362.574,2.817,0.566,15.855505617977526,-0.19162621720615824,44.0,134.32399999999998
146,KANSAS,11.0,4.4,20.43,0.6692,14.751,-31.152,-391.152,2.772,0.561,15.855505617977526,-2.1118568232662196,48.400000000000006,162.261
147,KANSAS,12.0,4.4,20.43,0.6692,16.1934,-62.419,-422.419,2.75,0.561,15.855505617977526,-3.854595081946966,52.800000000000004,194.32080000000002
148,KANSAS,13.0,4.4,20.43,0.6692,17.523,-92.274,-452.274,2.724,0.559,15.855505617977526,-5.26587913028591,57.2,227.799
149,KANSAS,14.0,4.4,20.43,0.6692,19.2515,-125.647,-485.647,2.716,0.57,15.855505617977526,-6.526608316235099,61.60000000000001,269.521
150,KANSAS,15.0,4.4,20.43,0.6692,21.31,-156.487,-516.487,2.698,0.585,15.855505617977526,-7.343359924917879,66.0,319.65
